# Force and moment coefficients
# dragDir     : (9.902623e-01 1.392140e-01 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (-1.392140e-01 9.902623e-01 0.000000e+00)
# rollAxis    : (9.902623e-01 1.392140e-01 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (-1.392140e-01 9.902623e-01 0.000000e+00)
# magUInf     : 2.600321e+01
# lRef        : 3.504920e+01
# Aref        : 3.504920e+01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0             	9.277408e-07	4.638418e-07	4.638990e-07	4.014499e-08	3.023504e-08	9.909950e-09	1.016255e-08	-2.863474e-11	6.617418e-10	3.446163e-25	6.617418e-10	-6.617418e-10
50            	3.433282e-03	1.695094e-03	1.738188e-03	3.020815e-02	2.134624e-02	8.861912e-03	6.242165e-03	-2.154696e-05	2.448902e-06	1.533710e-18	2.448902e-06	-2.448902e-06
100           	1.522700e-03	7.384865e-04	7.842137e-04	3.205404e-02	2.528191e-02	6.772131e-03	9.254890e-03	-2.286360e-05	1.086116e-06	1.060314e-18	1.086116e-06	-1.086116e-06
150           	1.779084e-03	8.580965e-04	9.209871e-04	4.408534e-02	3.260280e-02	1.148254e-02	1.056013e-02	-3.144532e-05	1.268990e-06	1.713961e-18	1.268990e-06	-1.268990e-06
200           	1.601870e-03	7.681341e-04	8.337360e-04	4.598582e-02	3.395869e-02	1.202713e-02	1.096578e-02	-3.280091e-05	1.142587e-06	1.716444e-18	1.142587e-06	-1.142587e-06
250           	1.575776e-03	7.549324e-04	8.208435e-04	4.620267e-02	3.411951e-02	1.208316e-02	1.101817e-02	-3.295558e-05	1.123974e-06	1.708886e-18	1.123974e-06	-1.123974e-06
300           	1.573314e-03	7.537086e-04	8.196054e-04	4.619258e-02	3.411606e-02	1.207652e-02	1.101977e-02	-3.294838e-05	1.122218e-06	1.705563e-18	1.122218e-06	-1.122218e-06
350           	1.573682e-03	7.538997e-04	8.197822e-04	4.618256e-02	3.410953e-02	1.207302e-02	1.101825e-02	-3.294123e-05	1.122481e-06	1.705115e-18	1.122481e-06	-1.122481e-06
400           	1.573856e-03	7.539877e-04	8.198679e-04	4.618102e-02	3.410836e-02	1.207265e-02	1.101785e-02	-3.294014e-05	1.122605e-06	1.705155e-18	1.122605e-06	-1.122605e-06
450           	1.573853e-03	7.539864e-04	8.198668e-04	4.618106e-02	3.410841e-02	1.207265e-02	1.101788e-02	-3.294017e-05	1.122603e-06	1.705170e-18	1.122603e-06	-1.122603e-06
500           	1.573874e-03	7.539970e-04	8.198775e-04	4.618115e-02	3.410846e-02	1.207269e-02	1.101789e-02	-3.294023e-05	1.122618e-06	1.705184e-18	1.122618e-06	-1.122618e-06
